id,observed_on,place_guess,latitude,longitude,species_guess,scientific_name
72186686,2021-02-19,"Creston, MT 59901, USA",48.33729,-114.2952059722,Western Conifer Seed Bug,Leptoglossus occidentalis
72211327,2021-03-27,"Flathead National Forest, Bigfork, MT, US",47.6745165399,-113.7474593928,Isabella Tiger Moth,Pyrrharctia isabella
72466842,2021-03-28,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.70295,-114.06636,Acerra normalis,Acerra normalis
72466926,2021-03-28,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.70295,-114.06636,American Lappet Moth,Phyllodesma americana
72480300,2021-03-18,"Missoula County, US-MT, US",46.9302066667,-114.0316166667,Ufeus satyricus sagittarius,Ufeus satyricus sagittarius
72502642,2017-08-02,"Lake County, MT, USA",47.8758392222,-114.0298614444,Variable Darner,Aeshna interrupta
72600536,2021-03-31,"Missoula County, US-MT, US",46.70258,-114.0308,Stretchia muricina,Stretchia muricina
72600625,2021-03-31,"Missoula County, US-MT, US",46.70258,-114.0308,Lithophane pertorrida,Lithophane pertorrida
72600675,2021-03-31,"Missoula County, US-MT, US",46.70258,-114.0308,Pleromelloida bonuscula,Pleromelloida bonuscula
72611365,2021-03-30,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.76317,-114.09142,Speckled Green Fruitworm Moth,Orthosia hibisci
72624871,2021-03-31,"Ravalli County, MT, USA",46.5780726917,-114.1385733233,Mourning Cloak,Nymphalis antiopa
72665027,2021-04-01,"Creston, MT 59901, USA",48.227437,-114.3173149722,Common Water Strider,Aquarius remigis
72665257,2021-04-01,"Grandview Dr, Kalispell, MT, US",48.22815,-114.319755,Paper Wasps,Polistinae
72690168,2021-04-01,"Ravalli County, MT, USA",46.5843944112,-114.1455254552,Annaphila danistica,Annaphila danistica
72690170,2021-04-01,"Ravalli County, MT, USA",46.5843944112,-114.1455254552,Mourning Cloak,Nymphalis antiopa
72709062,2021-04-02,"Columbia Falls, MT 59912, USA",48.3702603701,-114.1708023101,Isabella Tiger Moth,Pyrrharctia isabella
72723366,2021-04-02,"Florence, MT, US",46.6997,-114.04235,Kirby's Backswimmer,Notonecta kirbyi
72843618,2021-04-03,"West Glacier, MT 59936, USA",48.6176666667,-113.8771194444,Mourning Cloak,Nymphalis antiopa
72853278,2021-04-03,"University of Montana, Missoula, MT, US",46.8588116667,-113.9870383333,Asian Lady Beetle,Harmonia axyridis
72923817,2021-04-04,"N Higgins Ave & E Front St, Missoula, MT 59802, USA",46.8703972222,-113.9949111111,Western Yellowjacket,Vespula pensylvanica
72925010,2021-04-03,"Lower Rattlesnake, Missoula, MT 59802, USA",46.8757983669,-113.9747125602,House Longhorn,Hylotrupes bajulus
72925253,2021-04-04,"Missoula, MT, US",46.86395,-114.09735,Mourning Cloak,Nymphalis antiopa
72977928,2021-04-04,"Missoula, MT 59808, USA",46.8895913886,-114.0825003013,Dytiscus,Dytiscus
72979593,2016-04-03,"Missoula County, US-MT, Lewis and Clark National Historic Trail, US",46.7057666667,-114.5371783333,Green Comma,Polygonia faunus
73047168,2021-04-05,"West Glacier, MT 59936, USA",48.499225,-113.98849,Common Water Strider,Aquarius remigis
73047521,2009-08-09,"Sanders County, MT, USA",47.6819798629,-114.9191065432,Common Wood-Nymph,Cercyonis pegala
73124866,2021-04-06,"Kalispell, MT, US",48.2260439842,-114.3164009998,Common Water Strider,Aquarius remigis
73160525,2020-05-24,"Swanland Dr, Condon, MT 59826, USA",47.4873681,-113.6807904,Hump-winged Grigs,Cyphoderris
73161948,2019-04-18,"Condon, MT 59826, USA",47.5275186,-113.7109849,Mourning Cloak,Nymphalis antiopa
73163044,2020-09-23,"Missoula County, MT, USA",47.4225529292,-113.7262087915,Black-margined Flower Fly,Syrphus opinator
73163141,2021-04-06,"Florence, MT 59833, USA",46.6550102003,-114.1123378649,California Broad-necked Darkling Beetle,Coelocnemis dilaticollis
73219625,2020-05-17,"Hamilton, MT 59840, USA",46.2551530793,-114.1637438536,Brown Woodling,Egira perlubens
73241519,2021-04-07,"Lolo National Forest, Missoula, MT, US",46.9285666667,-113.9594116667,Mourning Cloak,Nymphalis antiopa
73334640,2021-04-08,"Toole Ave, Missoula, MT, US",46.8785154914,-114.0039691686,Hainlaufkäfer,Carabus nemoralis
73344275,2021-04-08,"Ravalli St, Hamilton, MT, US",46.2426416667,-114.1597583333,Hainlaufkäfer,Carabus nemoralis
73390471,2021-04-07,"Missoula County, MT, USA",46.6673952351,-113.9605581886,Epirrhoe plebeculata,Epirrhoe plebeculata
73426995,2021-03-21,"1701 S 5th St W, Missoula, MT 59801, USA",46.8648256,-114.0226307,Walnut Spanworm Moth,Phigalia plumogeraria
73427208,2021-03-25,"Crooked Trail, Missoula, MT 59801, USA",46.8357684,-113.9637446,Spring Field Cricket,Gryllus veletis
73500141,2021-04-07,"Missoula County, US-MT, US",46.70926,-114.00488,Pleromelloida conserta,Pleromelloida conserta
